"Race","Academic Stage","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"White","Postdoc","0.753462956982326","0.747549769804946","0.739779266835029","0.732745507255007","0.72646747259188","0.720228596261541","0.71338591608247","0.705446312987668","0.697071532747622","0.688242963765574","0.679010122469","0.670468727938769","0.661804176303941","0.65345922380082","0.645455560956695","0.637512337009058","0.629498996720434","0.62203878276459","0.61522997845181","0.609029835647725","0.60377316641572","0.599213346084279","0.594722270171321","0.590571299789812","0.585919422853928","0.580849959396656","0.575702405399204","0.571483762914846","0.568257859523514","0.565559892403453"
"White","Phd","0.744461750259449","0.737689829447183","0.73043825225978","0.723076150727494","0.716174309629191","0.709264707502321","0.701615213399614","0.692599046229564","0.682876807266475","0.672759982781739","0.662285051037022","0.652233507013093","0.642741909508841","0.634096684214442","0.626054233532567","0.618518115199984","0.612142399186747","0.606062963787116","0.60102619362026","0.596106575709895","0.591772474766993","0.587572557804926","0.584540186862881","0.582174647152124","0.579565900763","0.576343779231082","0.572993566127815","0.569331032458645","0.565903358564783","0.562786428680749"
"White","Graduate","0.715725334329291","0.707398770871598","0.698009597683523","0.688350955432163","0.679375378900551","0.670964201036594","0.662521248564385","0.653161105379983","0.644075872407778","0.634001201996956","0.623851985041512","0.61663714922969","0.611172077229534","0.607811271181642","0.60534886139493","0.603017039405067","0.600943646095068","0.598377244859691","0.595291384131655","0.59196182029492","0.588306298347442","0.584236005540182","0.580023228349394","0.575494474798959","0.570795784090172","0.565981543750713","0.5614191397265","0.557170016250597","0.553510072707398","0.550345669558492"
"White","Undergraduate","0.699987235245435","0.693709673862588","0.68690296891589","0.679994560080817","0.672635919871943","0.665014043110183","0.657280000260892","0.650374759765172","0.644556801427954","0.638512002433755","0.632504163365821","0.629069316651071","0.625215685021847","0.621130775933057","0.617009247043109","0.612058393302821","0.606220650976136","0.600165346279819","0.593457261160782","0.586621265581524","0.580222669557259","0.575908390766202","0.571830633635986","0.567757422250532","0.563730859761697","0.559429271123645","0.555302601606017","0.551768672949699","0.548775729252898","0.545860697895005"
"Hispanic or Latino","Population Average","0.0904277843771123","0.0931097414172398","0.0959765295510474","0.099172056905757","0.102407026788906","0.10574572229749","0.109369276743823","0.11331833652626","0.117391275063285","0.121623332021503","0.126387795148235","0.130344359791753","0.134263690872169","0.138050099443506","0.141737104087509","0.14558780841952","0.149495000186206","0.153360116503467","0.157167817660677","0.160795524802434","0.164045686343872","0.166445513893556","0.168647146669613","0.17085888559524","0.173069489619712","0.175447825103325","0.177898847385307","0.180234265746821","0.182559384174297","0.184536695783585"
"Hispanic or Latino","Tenured","0.066798304383368","0.0687672097067305","0.0706103905286769","0.0727000659181793","0.0748254797990547","0.0771712375362263","0.0797414762783526","0.0822427233606606","0.0850448427741041","0.0879357701852993","0.091463776986754","0.0947921586322746","0.0980937197291968","0.101442645324001","0.104685539428274","0.108139857020043","0.111574294285408","0.115106597219924","0.118830762220541","0.122536380914221","0.126156336873141","0.12958642125453","0.133002135406795","0.136576972900132","0.139924335702685","0.143466928981422","0.146864846248611","0.150884943682668","0.154623814443548","0.157977651460306"
"Hispanic or Latino","Assistant","0.0814118215019869","0.0840349457254974","0.0866129277765726","0.0899793112366009","0.0932423597827201","0.0966334575860702","0.100086159344208","0.104582559486212","0.108891682800237","0.113224630495009","0.118053807331925","0.122948856699387","0.128266534543011","0.13378778783221","0.139393544935139","0.145239698002885","0.151226906728201","0.157143302735332","0.163024051349065","0.168450769252565","0.173509292679445","0.178091730301712","0.182264062341385","0.186184238369019","0.189746222770812","0.192973671063093","0.19580260078573","0.198236712933182","0.200364726660643","0.201902739080724"
"Hispanic or Latino","Postdoc","0.0914281014407365","0.0947918626507611","0.0990200896423264","0.103268029013374","0.10743689542834","0.111499453221811","0.115774627928905","0.120707902871381","0.126169509463941","0.131882435678351","0.138316158927023","0.144564158742833","0.150870930980776","0.157007408367018","0.162642282573654","0.168317926407419","0.173864682260115","0.179086692275052","0.184016232338174","0.188459660698348","0.192126498665564","0.194653842638863","0.196744732764492","0.198509953438552","0.200115623370972","0.201999140582273","0.203986272153881","0.205575003746803","0.206862193111033","0.207555468517987"
"Hispanic or Latino","Phd","0.0966034694586117","0.100822882274435","0.105317712995496","0.110013808697312","0.114815114091068","0.119419848334485","0.12431751742734","0.130138214407963","0.136669892607741","0.143357343700234","0.150741676265391","0.157998614105528","0.164843855563155","0.171310221462785","0.176980840340662","0.182383690242485","0.186914296461646","0.191138262225475","0.19477845908761","0.198200693248589","0.20114993981619","0.203285322476255","0.204387556796249","0.204797072821803","0.204635513808513","0.204761355324717","0.204961917775415","0.205629570663544","0.206567003264061","0.207382351228043"
"Hispanic or Latino","Graduate","0.116191102215172","0.120554405170314","0.125462165253709","0.13109372974609","0.136797967289454","0.142460706447973","0.148668555781232","0.1556143232759","0.163143985552878","0.170576903516871","0.178434630060268","0.1834059753219","0.187410898211267","0.190123087579633","0.191613189774937","0.193121118547344","0.194304078928802","0.195971057380418","0.197917937955407","0.200132894199214","0.202065204896582","0.202221717512675","0.202725273779584","0.203592298293508","0.204818280183443","0.206573548054024","0.208674766945735","0.210983023899911","0.213730928631399","0.216730085865132"
"Hispanic or Latino","Undergraduate","0.119754198440988","0.123158535317571","0.126624179528697","0.131011030481017","0.135476026646649","0.140521928596584","0.146608706924419","0.152691985022851","0.158013025814962","0.163325755944295","0.168421741180812","0.170465168847232","0.172855403743097","0.175307390728915","0.17770308709007","0.180850950294242","0.184786803910499","0.188947896800651","0.193660960079455","0.198741044917985","0.20341791225422","0.205546236257744","0.207690930765056","0.210173565669592","0.213398437148741","0.21703841423261","0.220925821729679","0.224536880451218","0.22824394713966","0.231556958932484"
